plant_id,country,group,plant_name,city,brand,original_current_url,archive_year,registry_url,url_kind,registry_url_role,url_confidence,url_slot,archive_timestamp,archive_url,cdx_query_used,status,employees,reference_year,snippet,pattern,production_volume,production_reference_year,production_snippet,production_pattern,models,models_snippet,models_pattern,error
BE_AUDI_BRUSSELS,Belgium,Volkswagen Group,Audi Brussels Plant Forest,Brussels,audi,https://www.audibrussels.be/brussels/web/en.html,2006,https://www.audibrussels.be/brussels/web/en.html,PLANT_SPECIFIC,official Audi Brussels plant website,Medium,alt1,,,,no_archive,,,,,,,,,,,,
BE_AUDI_BRUSSELS,Belgium,Volkswagen Group,Audi Brussels Plant Forest,Brussels,audi,https://www.audibrussels.be/brussels/web/en.html,2007,https://www.audibrussels.be/brussels/web/en.html,PLANT_SPECIFIC,official Audi Brussels plant website,Medium,alt1,,,,no_archive,,,,,,,,,,,,
BE_AUDI_BRUSSELS,Belgium,Volkswagen Group,Audi Brussels Plant Forest,Brussels,audi,https://www.audibrussels.be/brussels/web/en.html,2008,https://www.audibrussels.be/brussels/web/en.html,PLANT_SPECIFIC,official Audi Brussels plant website,Medium,alt1,,,,no_archive,,,,,,,,,,,,
BE_AUDI_BRUSSELS,Belgium,Volkswagen Group,Audi Brussels Plant Forest,Brussels,audi,https://www.audibrussels.be/brussels/web/en.html,2009,https://www.audibrussels.be/brussels/web/en.html,PLANT_SPECIFIC,official Audi Brussels plant website,Medium,alt1,,,,no_archive,,,,,,,,,,,,
BE_AUDI_BRUSSELS,Belgium,Volkswagen Group,Audi Brussels Plant Forest,Brussels,audi,https://www.audibrussels.be/brussels/web/en.html,2010,https://www.audibrussels.be/brussels/web/en.html,PLANT_SPECIFIC,official Audi Brussels plant website,Medium,alt1,20100404075632,https://web.archive.org/web/20100404075632id_/http://audibrussels.be:80/,host_prefix_www,not_found,,,,,,,,,,,,
BE_AUDI_BRUSSELS,Belgium,Volkswagen Group,Audi Brussels Plant Forest,Brussels,audi,https://www.audibrussels.be/brussels/web/en.html,2011,https://www.audibrussels.be/brussels/web/en.html,PLANT_SPECIFIC,official Audi Brussels plant website,Medium,alt1,,,,no_archive,,,,,,,,,,,,
BE_AUDI_BRUSSELS,Belgium,Volkswagen Group,Audi Brussels Plant Forest,Brussels,audi,https://www.audibrussels.be/brussels/web/en.html,2012,http://www.audi.com/corporate/en/company/production-sites/audi-production-worldwide/brussels.html,PLANT_SPECIFIC,official Audi Brussels plant website,Medium,primary,20120623064540,https://web.archive.org/web/20120623064540id_/http://www.audi.com:80/com/brand/en/company/careers/belgium/brussels.html,host_prefix_city_brussels,found_llm,2400.0,2011,"2,400 highly qualified and motivated employees",llm,118200.0,2011,"In 2011, AUDI AG delivered some 118,200 units of A1 to customers",llm,Audi A1,"when volume production of the Audi A1 started in May 2010, the Brussels plant assumed the lead role in building its very own model",llm,
BE_AUDI_BRUSSELS,Belgium,Volkswagen Group,Audi Brussels Plant Forest,Brussels,audi,https://www.audibrussels.be/brussels/web/en.html,2013,http://www.audi.com/corporate/en/company/production-sites/audi-production-worldwide/brussels.html,PLANT_SPECIFIC,official Audi Brussels plant website,Medium,primary,20130511095955,https://web.archive.org/web/20130511095955id_/http://www.audi.com/com/brand/en/company/careers/belgium/brussels.html,host_prefix_city_brussels,found_llm,2400.0,2011,"assembled by 2,400 highly qualified and motivated employees",llm,118200.0,2011,"In 2011, AUDI AG delivered some 118,200 units of A1 to customers",llm,Audi A1,"when volume production of the Audi A1 started in May 2010, the Brussels plant assumed the lead role in building its very own model",llm,
BE_AUDI_BRUSSELS,Belgium,Volkswagen Group,Audi Brussels Plant Forest,Brussels,audi,https://www.audibrussels.be/brussels/web/en.html,2014,http://www.audi.com/corporate/en/company/production-sites/audi-production-worldwide/brussels.html,PLANT_SPECIFIC,official Audi Brussels plant website,Medium,primary,20140811095151,https://web.archive.org/web/20140811095151id_/http://www.audi.com/corporate/en/company/production-sites/from-ingolstadt-to-jakarta/brussels.html,host_prefix_city_brussels,found,2548.0,2013,"nterim measure. The Brussels plant in figures Established 1949 Area 540,000 square metres Employees 2,548 (as at: December 31, 2013) Models Audi A1, Audi A1 Sportback, Audi A1 quattro, Audi S1, Audi S1 Sportback Production",audi_corporate_employees_as_at,120520.0,2013,"Production 120,520 automobiles (2013)",llm,Audi A1,"e. The Brussels plant in figures Established 1949 Area 540,000 square metres Employees 2,548 (as at: December 31, 2013) Models Audi A1, Audi A1 Sportback, Audi A1 quattro, Audi S1, Audi S1 Sportback Production 120,520 automobiles (2013) Audi A1 True grandeur show",models_models_audi_list,
BE_AUDI_BRUSSELS,Belgium,Volkswagen Group,Audi Brussels Plant Forest,Brussels,audi,https://www.audibrussels.be/brussels/web/en.html,2015,https://www.audibrussels.be/brussels/web/en.html,PLANT_SPECIFIC,official Audi Brussels plant website,Medium,alt1,,,,no_archive,,,,,,,,,,,,
BE_AUDI_BRUSSELS,Belgium,Volkswagen Group,Audi Brussels Plant Forest,Brussels,audi,https://www.audibrussels.be/brussels/web/en.html,2016,http://www.audi.com/corporate/en/company/production-sites/audi-production-worldwide/brussels.html,PLANT_SPECIFIC,official Audi Brussels plant website,Medium,primary,20160328154049,https://web.archive.org/web/20160328154049id_/http://www.audi.com:80/corporate/en/company/production-sites/audi-production-worldwide/brussels.html,exact,found,2513.0,2015,"ty. The Brussels plant in figures Site AUDI BRUSSELS S.A./N.V., Brussels Established 1949 Employees 2,513 (as at: December 31, 2015) Models Audi A1, Audi A1 Sportback, Audi S1, Audi S1 Sportback Production (2015) 116,250 a",audi_corporate_employees_as_at,116250.0,2015,"Production (2015) 116,250 automobiles",llm,Audi A1,"els plant in figures Site AUDI BRUSSELS S.A./N.V., Brussels Established 1949 Employees 2,513 (as at: December 31, 2015) Models Audi A1, Audi A1 Sportback, Audi S1, Audi S1 Sportback Production (2015) 116,250 automobiles Audi Social Web Audi Worldwide Contact News",models_models_audi_list,
