plant_id,country,group,plant_name,city,brand,year,employees,value_source,selection_basis,extraction_method,pattern,n_distinct_values,sources_present,value_spread,reference_year,lag_years,low_confidence,source_url,snippet,production_volume,models
DE_AUDI_ZWICKAU,Germany,Volkswagen Group,Audi Plant Zwickau,Zwickau,audi,2019,,wiki_backfill_v32_mistral_small,single_source,llm,,1,wiki_de,0,2019,0,Y,https://de.wikipedia.org/wiki/Volkswagen_Sachsen,2019 wurden 16.155 e-Golf produziert.,16155.0,e-Golf
DE_AUDI_ZWICKAU,Germany,Volkswagen Group,Audi Plant Zwickau,Zwickau,audi,2024,,wiki_backfill_v32_mistral_small,single_source,llm,,1,wiki_de,0,2024,0,Y,https://de.wikipedia.org/wiki/Volkswagen_Sachsen,Im Jahr 2024 wurden 204.000 Fahrzeuge produziert.,204000.0,VW ID.3;VW ID.4;VW ID.5;Cupra Born;Audi Q4 e-tron;Audi Q4 Sportback e-tron
DE_BMW_LANDSHUT,Germany,BMW Group,BMW Group Plant Landshut,Landshut,bmw,2024,3700.0,wiki_backfill_v32_mistral_small,single_source,llm,,1,wiki_de,0,2024,0,Y,https://de.wikipedia.org/wiki/BMW_Group_Werk_Landshut,Im BMW-Werk Landshut sind über 3.700 Mitarbeiter (Juli 2024) beschäftigt,,
DE_BMW_REGENSBURG,Germany,BMW Group,BMW Group Plant Regensburg,Regensburg,bmw,2009,,wiki_backfill_v32_mistral_small,single_source,llm,,1,wiki_de,0,2009,0,Y,https://de.wikipedia.org/wiki/BMW_Group_Werk_Regensburg,2009 startete die Fertigung des BMW Z4,,BMW Z4
DE_BMW_REGENSBURG,Germany,BMW Group,BMW Group Plant Regensburg,Regensburg,bmw,2011,,wiki_backfill_v32_mistral_small,single_source,llm,,1,wiki_de,0,2011,0,Y,https://de.wikipedia.org/wiki/BMW_Group_Werk_Regensburg,2010 erfolgten Umbaumaßnahmen im Werk für die im Jahr 2011 gestartete Serienproduktion der 2. Generation des BMW 1ers,,BMW 1er
DE_BMW_REGENSBURG,Germany,BMW Group,BMW Group Plant Regensburg,Regensburg,bmw,2012,,wiki_backfill_v32_mistral_small,single_source,llm,,1,wiki_de,0,2012,0,Y,https://de.wikipedia.org/wiki/BMW_Group_Werk_Regensburg,"Die Produktion der 6. Generation des BMW 3ers sowie umfangreiche Investitionsmaßnahmen in Presswerk, Karosseriebau und Logistik starteten 2012.",,BMW 3er
DE_BMW_REGENSBURG,Germany,BMW Group,BMW Group Plant Regensburg,Regensburg,bmw,2018,,wiki_backfill_v32_mistral_small,single_source,llm,,1,wiki_de,0,2018,0,Y,https://de.wikipedia.org/wiki/BMW_Group_Werk_Regensburg,2018 Start der Produktion des BMW X2,,BMW X2
DE_BMW_REGENSBURG,Germany,BMW Group,BMW Group Plant Regensburg,Regensburg,bmw,2022,,wiki_backfill_v32_mistral_small,single_source,llm,,1,wiki_de,0,2022,0,Y,https://de.wikipedia.org/wiki/BMW_Group_Werk_Regensburg,Im Jahr 2022 stellte das Werk auf die Produktion von Elektrofahrzeugen um und begann mit der Fertigung des BMW BMW iX1,,BMW iX1
DE_BMW_REGENSBURG,Germany,BMW Group,BMW Group Plant Regensburg,Regensburg,bmw,2023,,wiki_backfill_v32_mistral_small,single_source,llm,,1,wiki_de,0,2023,0,Y,https://de.wikipedia.org/wiki/BMW_Group_Werk_Regensburg,2023 folgte die Produktion des neues BMW X2 und des BMW iX2,238301.0,BMW X2;BMW iX2
DE_MERCEDES_BREMEN,Germany,Mercedes-Benz Group,Mercedes-Benz Plant Bremen,Bremen,mercedes,2011,,wiki_backfill_v32_mistral_small,single_source,llm,,1,wiki_de,0,2011,0,Y,https://de.wikipedia.org/wiki/Mercedes-Benz_Werk_Bremen,2011 313.026,313026.0,
DE_MERCEDES_BREMEN,Germany,Mercedes-Benz Group,Mercedes-Benz Plant Bremen,Bremen,mercedes,2012,,wiki_backfill_v32_mistral_small,single_source,llm,,1,wiki_de,0,2012,0,Y,https://de.wikipedia.org/wiki/Mercedes-Benz_Werk_Bremen,2012 316.621,316621.0,
DE_MERCEDES_BREMEN,Germany,Mercedes-Benz Group,Mercedes-Benz Plant Bremen,Bremen,mercedes,2013,,wiki_backfill_v32_mistral_small,single_source,llm,,1,wiki_de,0,2013,0,Y,https://de.wikipedia.org/wiki/Mercedes-Benz_Werk_Bremen,2013 297.406,297406.0,
DE_MERCEDES_BREMEN,Germany,Mercedes-Benz Group,Mercedes-Benz Plant Bremen,Bremen,mercedes,2014,,wiki_backfill_v32_mistral_small,single_source,llm,,1,wiki_de,0,2014,0,Y,https://de.wikipedia.org/wiki/Mercedes-Benz_Werk_Bremen,2014 338.495,338495.0,
DE_MERCEDES_BREMEN,Germany,Mercedes-Benz Group,Mercedes-Benz Plant Bremen,Bremen,mercedes,2015,,wiki_backfill_v32_mistral_small,single_source,llm,,1,wiki_de,0,2015,0,Y,https://de.wikipedia.org/wiki/Mercedes-Benz_Werk_Bremen,2015 324.131,324131.0,
DE_MERCEDES_BREMEN,Germany,Mercedes-Benz Group,Mercedes-Benz Plant Bremen,Bremen,mercedes,2017,12500.0,wiki_backfill_v32_mistral_small,single_source,llm,,1,wiki_de,0,2017,0,Y,https://de.wikipedia.org/wiki/Mercedes-Benz_Werk_Bremen,Personalstand am Standort: > 12.500,,
DE_MERCEDES_BREMEN,Germany,Mercedes-Benz Group,Mercedes-Benz Plant Bremen,Bremen,mercedes,2023,1000.0,wiki_backfill_v32_mistral_small,single_source,llm,,1,wiki_de,0,2023,0,Y,https://de.wikipedia.org/wiki/Mercedes-Benz_Werk_Bremen,Mit über 1000 Beschäftigten (Stand 2023),,
DE_MERCEDES_BREMEN,Germany,Mercedes-Benz Group,Mercedes-Benz Plant Bremen,Bremen,mercedes,2026,,wiki_backfill_v32_mistral_small,single_source,llm,,1,wiki_de,0,2026,0,Y,https://de.wikipedia.org/wiki/Mercedes-Benz_Werk_Bremen,Stand 2026 werden in Bremen folgende Modelle gefertigt: EQE SL GT C-Klasse Limousine C-Klasse T-Modell GLC GLC Coupé GLC mit EQ-Technologie CLE,,EQE;SL;GT;C-Klasse Limousine;C-Klasse T-Modell;GLC;GLC Coupé;GLC mit EQ-Technologie;CLE
DE_MERCEDES_KAMENZ,Germany,Mercedes-Benz Group,"Accumotive GmbH & Co. KG, Kamenz",Kamenz,mercedes,2019,,wiki_backfill_v32_mistral_small,single_source,llm,,1,wiki_de,0,2019,0,Y,https://de.wikipedia.org/wiki/Accumotive,Seit 2019 wurden die Batterien für das Elektroauto Mercedes-Benz EQC von der Accumotive gefertigt,,Mercedes-Benz EQC
DE_MERCEDES_KAMENZ,Germany,Mercedes-Benz Group,"Accumotive GmbH & Co. KG, Kamenz",Kamenz,mercedes,2021,,wiki_backfill_v32_mistral_small,single_source,llm,,1,wiki_de,0,2021,0,Y,https://de.wikipedia.org/wiki/Accumotive,2021 Hochlauf EQA- und EQB-Batterie.,,Mercedes-Benz EQA;Mercedes-Benz EQB
DE_MERCEDES_KAMENZ,Germany,Mercedes-Benz Group,"Accumotive GmbH & Co. KG, Kamenz",Kamenz,mercedes,2023,,wiki_backfill_v32_mistral_small,single_source,llm,,1,wiki_de,0,2023,0,Y,https://de.wikipedia.org/wiki/Accumotive,Mercedes-Benz EQC 2019–2023,,Mercedes-Benz EQC
DE_MERCEDES_KAMENZ,Germany,Mercedes-Benz Group,"Accumotive GmbH & Co. KG, Kamenz",Kamenz,mercedes,2025,,wiki_backfill_v32_mistral_small,single_source,llm,,1,wiki_de,0,2025,0,Y,https://de.wikipedia.org/wiki/Accumotive,Mercedes-Benz CLA seit 2025,,Mercedes-Benz CLA
DE_MERCEDES_KOLLEDA,Germany,Mercedes-Benz Group,"MDC Power GmbH, Kölleda & Arnstadt",Kölleda,mercedes,2026,1200.0,wiki_backfill_v32_mistral_small,single_source,llm,,1,wiki_de,0,2026,0,Y,https://de.wikipedia.org/wiki/MDC_Power,Mitarbeiterzahl 1200,,
DE_VW_BRUNSWICK,Germany,Volkswagen Group,Volkswagen Plant Brunswick,Braunschweig,vw,2020,,wiki_backfill_v32_mistral_small,single_source,llm,,1,wiki_de,0,2020,0,Y,https://de.wikipedia.org/wiki/Vorwerk_Braunschweig,Der Volkswagen e-up! wurde dabei mit den Batteriesystemen aus Braunschweig erfolgreich in Serie gebracht. Im Jahr darauf folgte der e-Golf und 2015 der Passat GTE mit Batteriesystemen aus Braunschweig. Seit 2019 fertigt der Standort auch die Batteriesysteme für die neuen Elektrofahrzeuge des Konzern,,e-up!;e-Golf;Passat GTE;Golf GTE;ID.-Familie;MEB-Fahrzeuge
