plant_id,country,group,plant_name,city,brand,original_current_url,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
BE_AUDI_BRUSSELS,Belgium,Volkswagen Group,Audi Brussels Plant Forest,Brussels,audi,https://www.audibrussels.be/brussels/web/en.html,,,,,2400.0,,2548.0,,2513.0,2525.0,,,3000.0,,,,,,,
DE_AUDI_INGOLSTADT,Germany,Volkswagen Group,Audi Plant Ingolstadt,Ingolstadt,audi,https://www.audi-mediacenter.com/de/audi-in-ingolstadt-5543,31501.0,,32707.0,32819.0,33729.0,35386.0,10000.0,40027.0,43192.0,43952.0,,,44458.0,43142.0,42436.0,40118.0,40000.0,40000.0,40000.0,
DE_AUDI_NECKARSULM,Germany,Volkswagen Group,Audi Plant Neckarsulm,Neckarsulm,audi,https://www.audi-mediacenter.com/de/audi-at-the-neckarsulm-site-5557,13369.0,,13704.0,689.0,14247.0,14764.0,15163.0,15900.0,16314.0,16703.0,16995.0,,,15710.0,15614.0,,,,,
DE_AUDI_ZWICKAU,Germany,Volkswagen Group,Audi Plant Zwickau,Zwickau,audi,https://www.audi-mediacenter.com/de/audi-in-zwickau-14115,,,,,,,,,,,,7700.0,8000.0,8940.0,,10700.0,10350.0,9200.0,8000.0,
DE_BMW_BERLIN,Germany,BMW Group,BMW Group Plant Berlin,Berlin,bmw,https://www.bmwgroup-werke.com/berlin/de.html,,,,,1900.0,,1900.0,,1900.0,1900.0,2000.0,2000.0,2000.0,2000.0,2100.0,2100.0,2200.0,2200.0,2400.0,2400.0
DE_BMW_DINGOLFING,Germany,BMW Group,BMW Group Plant Dingolfing,Dingolfing,bmw,https://www.bmwgroup-werke.com/dingolfing/de.html,,,,,,,,18500.0,17500.0,17500.0,17500.0,,,18000.0,17000.0,,18000.0,18500.0,18000.0,
DE_BMW_EISENACH,Germany,BMW Group,BMW Group Plant Eisenach,Eisenach,bmw,https://www.bmwgroup-werke.com/eisenach/de.html,,,,,,,,,7800.0,,,,,,,,,,450.0,395.0
DE_BMW_IRLBACH_STRASSKIRCHEN,Germany,BMW Group,BMW Group Plant Irlbach-Straßkirchen,Irlbach-Straßkirchen,bmw,https://www.bmwgroup-werke.com/irlbach-strasskirchen/de.html,,,,,,,,,7800.0,,,,,,,,,,1600.0,1600.0
DE_BMW_LANDSHUT,Germany,BMW Group,BMW Group Plant Landshut,Landshut,bmw,https://www.bmwgroup-werke.com/landshut/de.html,,,,,,,,,,,,4100.0,4100.0,4100.0,4100.0,4100.0,3500.0,3700.0,3700.0,3700.0
DE_BMW_LEIPZIG,Germany,BMW Group,BMW Group Plant Leipzig,Leipzig,bmw,https://www.bmwgroup-werke.com/leipzig/de.html,,,,,,,6000.0,6000.0,,,,,,,,5300.0,5600.0,6800.0,6800.0,
DE_BMW_MUNICH,Germany,BMW Group,BMW Group Plant Munich,Munich,bmw,https://www.bmwgroup-werke.com/munich/de.html,,,,,,,,,,,7800.0,,7800.0,7800.0,7000.0,,7000.0,,6000.0,
